\NEOWISESaturationBiasCorrection
\W1NEOWISEReactivation
|w1mpro,|,w1mcorr,|,w1lunc|,w1uunc|
|double,|,double|,double|,double|
|mag,|,mag,|,mag,|,mag,|
w1mpro,w1mcorr,w1lunc,w1uunc
3.175e+00,1.1878e+00,3.5459e-01,3.0288e-01
3.176e+00,1.1876e+00,3.5439e-01,3.0292e-01
3.177e+00,1.1873e+00,3.5419e-01,3.0295e-01
3.178e+00,1.1871e+00,3.5399e-01,3.0299e-01
3.179e+00,1.1868e+00,3.5379e-01,3.0303e-01
3.180e+00,1.1865e+00,3.5359e-01,3.0307e-01
3.181e+00,1.1863e+00,3.5339e-01,3.0311e-01
3.182e+00,1.1860e+00,3.5319e-01,3.0314e-01
3.183e+00,1.1858e+00,3.5298e-01,3.0318e-01
3.184e+00,1.1855e+00,3.5278e-01,3.0322e-01
3.185e+00,1.1853e+00,3.5258e-01,3.0326e-01
3.186e+00,1.1850e+00,3.5238e-01,3.0330e-01
3.187e+00,1.1847e+00,3.5218e-01,3.0333e-01
3.188e+00,1.1845e+00,3.5197e-01,3.0337e-01
3.189e+00,1.1842e+00,3.5177e-01,3.0341e-01
3.190e+00,1.1840e+00,3.5157e-01,3.0345e-01
3.191e+00,1.1837e+00,3.5137e-01,3.0348e-01
3.192e+00,1.1835e+00,3.5117e-01,3.0352e-01
3.193e+00,1.1832e+00,3.5097e-01,3.0355e-01
3.194e+00,1.1830e+00,3.5077e-01,3.0359e-01
3.195e+00,1.1827e+00,3.5057e-01,3.0362e-01
3.196e+00,1.1824e+00,3.5038e-01,3.0366e-01
3.197e+00,1.1822e+00,3.5018e-01,3.0369e-01
3.198e+00,1.1819e+00,3.4998e-01,3.0373e-01
3.199e+00,1.1817e+00,3.4979e-01,3.0376e-01
3.200e+00,1.1814e+00,3.4959e-01,3.0379e-01
3.201e+00,1.1812e+00,3.4940e-01,3.0382e-01
3.202e+00,1.1809e+00,3.4921e-01,3.0385e-01
3.203e+00,1.1807e+00,3.4902e-01,3.0388e-01
3.204e+00,1.1804e+00,3.4883e-01,3.0391e-01
3.205e+00,1.1802e+00,3.4864e-01,3.0394e-01
3.206e+00,1.1799e+00,3.4846e-01,3.0397e-01
